sample_label,Country,Site,location,EW,SN,latitude,longitude,Sampling_Day,Date,Date_dmy,Monsoon,Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Rain_6,Rain_7,Height_m,Current,Current_ef,neap_days,spring_days,Chlorophyll_Filtered,Chlorophyll_Unfiltered,Secchi_Depth,Temperature,Salinity,NOx,NO2,NO3,Phosphate,Silicate,NH4,DIN,DIN:PO4,DIN:Si,Si:PO4,Virus/ml,Bacteria/ml,Virus:Bacteria
SBW21,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,21,44176,11/12/20,NE,19.8,40,40,46.6,46.6,46.8,51.8,2.74,-0.417514538,Ebb,3,4,2.134556721,5.448071351,2,29.1,25.9,24.622,5.641,18.999,2.021,5.432,17.901,42.523,21.04057397,7.828240059,2.687778328,5.11E+07,6.34E+06,8.05
SBW22,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,22,44177,12/12/20,NE,0,19.8,40,40,46.6,46.6,46.8,3.04,-0.277148109,Ebb,4,3,4.334649737,7.000972493,2.5,29.4,26.8,20.684,5.358,15.32,1.89,6.221,14.558,35.242,18.64656085,5.665005626,3.291534392,4.26E+07,4.30E+06,9.9
SBW23,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,23,44179,14/12/20,NE,0.6,27.4,27.4,47.2,67.4,67.4,74,3.24,0.0941714,Flood,6,1,14.61698868,20.4247373,2,30.3,26.4,19.896,4.847,15.055,1.76,6.121,15.082,34.978,19.87386364,5.714425747,3.477840909,3.94E+07,4.13E+06,9.54
SBW24,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,24,44181,16/12/20,NE,3,21.6,22.2,49,49,68.8,89,2.83,0.440338277,Flood,6,1,16.62096637,8.73213786,2,29,26.7,19.921,4.794,15.136,1.546,4.503,17.248,37.169,24.04204398,8.254274928,2.912677878,5.97E+07,4.53E+06,13.17
SBW25,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,25,44183,18/12/20,NE,8.4,24.2,27.2,45.8,46.4,73.2,73.2,2.36,0.412171777,Flood,4,3,7.292595634,12.73209443,1.5,27.5,25.5,18.962,4.671,14.295,1.573,6.065,22.97,41.932,26.65734266,6.913767519,3.855689765,4.52E+07,2.92E+06,15.48
SBW26,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,26,44184,19/12/20,NE,6,14.4,30.2,33.2,51.8,52.4,79.2,2.14,0.329154854,Flood,3,4,3.139242719,8.685132392,1.9,28.5,26.8,22.18,5.158,17.042,1.897,9.728,33.4,55.58,29.29889299,5.713404605,5.128096995,3.88E+07,2.85E+06,13.62
SBW27,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,27,44186,21/12/20,NE,2.6,2.6,8.6,17,32.8,35.8,54.4,2.01,0.025108884,Flood,1,6,1.330076625,15.11931767,2,30,26.3,22,6.168,15.797,1.718,5.285,8.175,30.175,17.56402794,5.709555345,3.076251455,4.89E+07,3.63E+06,13.49
SBW28,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,28,44188,23/12/20,NE,0.2,0.2,2.8,2.8,8.8,17.2,33,2.03,-0.227013626,Ebb,1,7,4.348112931,7.577836077,3,28.9,26.6,21.984,6.145,15.804,1.783,6.583,5.616,27.6,15.47952888,4.192617348,3.69209198,5.01E+07,4.68E+06,10.7
SBW29,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,29,44191,26/12/20,NE,0,11.2,11.2,11.4,11.4,14,14,2.71,-0.228658052,Ebb,4,4,2.174717084,2.809948076,3,29.8,25.6,19.949,4.795,15.166,2.4,13.332,19.664,39.613,16.50541667,2.971272127,5.555,3.91E+07,3.47E+06,11.28
SBW30,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,30,44193,28/12/20,NE,17.2,60.4,60.4,71.6,71.6,71.8,71.8,2.93,-0.006716365,Ebb,6,2,8.462171753,17.94917185,1,29.5,21,20.271,4.486,15.819,2.198,13.773,30.6,50.871,23.14422202,3.693530821,6.266151046,8.78E+07,6.75E+06,13.02
SNB01,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,1,44139,4/11/20,IM,8.8,24,24,37,37,37,63.8,2.24,0.451267095,Flood,4,4,3.678119209,3.823836975,1.5,27.9,19.4,21.149,8.247,12.799,2.231,25.59,65.95,87.099,39.04034065,3.403634232,11.47019274,2.55E+07,5.58E+06,4.58
SNB02,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,2,44141,6/11/20,IM,0,16.4,25.2,40.4,40.4,53.4,53.4,2.05,0.330759442,Flood,2,6,3.04336317,3.419354501,1.1,30.8,20.8,28.018,10.26,17.247,2.359,34.58,58.62,86.638,36.72657906,2.505436669,14.65875371,1.62E+07,4.73E+06,3.43
